mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__class_weight,param_model__max_depth,param_model__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.03398284912109375,0.006408076096412545,0.012482595443725587,0.0038305973368851906,balanced,3,1,"{'model__class_weight': 'balanced', 'model__max_depth': 3, 'model__min_samples_leaf': 1}",0.9387079664531532,0.9377502784289837,0.9296494373155837,0.9400688965582232,0.9349077380471192,0.9362168633606126,0.0036943202375652466,28,0.9340949603461293,0.9343311791262506,0.938762097114789,0.9376418376775969,0.9365030011375461,0.9362666150804623,0.0018240911578814687
0.03334236145019531,0.008542588099651135,0.011140537261962891,0.0006919856568285749,balanced,3,5,"{'model__class_weight': 'balanced', 'model__max_depth': 3, 'model__min_samples_leaf': 5}",0.9387079664531532,0.9377502784289837,0.9296494373155837,0.9400688965582232,0.9349077380471192,0.9362168633606126,0.0036943202375652466,28,0.9340949603461293,0.9343311791262506,0.938762097114789,0.9376418376775969,0.9365030011375461,0.9362666150804623,0.0018240911578814687
0.03320598602294922,0.005672253465317007,0.012703180313110352,0.00511686884955916,balanced,3,20,"{'model__class_weight': 'balanced', 'model__max_depth': 3, 'model__min_samples_leaf': 20}",0.9387079664531532,0.9377502784289837,0.9296494373155837,0.9400688965582232,0.934254780048343,0.9360862717608572,0.003749418650848302,30,0.9340949603461293,0.9343311791262506,0.938762097114789,0.9376418376775969,0.9352046474949222,0.9360069443519375,0.001863936431845159
0.0652653694152832,0.018900393434822808,0.016430473327636717,0.003927494457543549,balanced,5,1,"{'model__class_weight': 'balanced', 'model__max_depth': 5, 'model__min_samples_leaf': 1}",0.944940164501812,0.9457585294654259,0.9388943998186321,0.9442783893946591,0.9431828355453824,0.9434108637451823,0.0024105326859625263,23,0.9474631925699434,0.9487049382060891,0.9490513068911623,0.9510989846383119,0.9450358518678165,0.9482708548346647,0.0019956660292487676
0.038924646377563474,0.010754118724936979,0.011018800735473632,0.0006412950729532019,balanced,5,5,"{'model__class_weight': 'balanced', 'model__max_depth': 5, 'model__min_samples_leaf': 5}",0.9466275452488688,0.946477988339138,0.9384912693915137,0.9436135106588643,0.9419578736677101,0.943433637461219,0.0030366545572982602,22,0.9464318148929758,0.9475664976217029,0.9478083716730434,0.9505770704110319,0.9446261699846913,0.9474019849166891,0.0019452383367521372
0.040732383728027344,0.009651256471954231,0.011118555068969726,0.0007888157377762872,balanced,5,20,"{'model__class_weight': 'balanced', 'model__max_depth': 5, 'model__min_samples_leaf': 20}",0.9410565476190478,0.9422746822022634,0.9339419962732093,0.9418693256060403,0.9362852664576802,0.9390855636316482,0.0033497025330447277,27,0.9432525280863352,0.9411126763869132,0.9426756551629242,0.9459183612168496,0.9369145999924546,0.9419747641690954,0.002967299894760626
0.06230320930480957,0.04674792936503288,0.01771254539489746,0.011584391503127046,balanced,8,1,"{'model__class_weight': 'balanced', 'model__max_depth': 8, 'model__min_samples_leaf': 1}",0.9621349206349206,0.9519388828763831,0.9498544805550115,0.9519955762403604,0.9542064144736843,0.9540260549560718,0.004281761232062703,21,0.9705196238628961,0.9621216272016171,0.9713453648209976,0.9711139891375304,0.9661002713891064,0.9682401752824296,0.003608676024945085
0.047662973403930664,0.014230161880441204,0.011769294738769531,0.001852399768623584,balanced,8,5,"{'model__class_weight': 'balanced', 'model__max_depth': 8, 'model__min_samples_leaf': 5}",0.9627097646410023,0.952893602945617,0.9556819682959049,0.9530105037271289,0.9560603562005277,0.9560712391620362,0.0035689534630574385,20,0.9661009339667269,0.9594055672584523,0.9713453648209976,0.9683656568149841,0.9629972297045114,0.9656429505131344,0.004148377896271982
0.04665689468383789,0.007787648967082211,0.012972068786621094,0.003993539068210212,balanced,8,20,"{'model__class_weight': 'balanced', 'model__max_depth': 8, 'model__min_samples_leaf': 20}",0.9453959978055397,0.9421322600212304,0.9395585399874373,0.9390336829526764,0.9385663426788231,0.9409373646891414,0.0025477084294120264,26,0.9486689671543528,0.944202276570246,0.9515166300440687,0.944820980544899,0.9411212415187284,0.946066019166459,0.003632051232744605
0.046173810958862305,0.008878351460738515,0.015973281860351563,0.007500856681294275,balanced,12,1,"{'model__class_weight': 'balanced', 'model__max_depth': 12, 'model__min_samples_leaf': 1}",0.9709321355659283,0.9706848546499434,0.9728342067981124,0.9717119314354151,0.9673502650711072,0.9707026787041013,0.001835954705664257,12,0.9954583357792164,0.9868282552348746,0.9934291478010892,0.9950190317263913,0.9908960162943456,0.9923261573671833,0.0031796519671572674
